subject_code,subject_name
OE 030,Manufacturing Process
OE 031,Introduction to soft computing
OE 032 ,Nano Science
OE 033,Laser  System and Application
OE 034,Space Science
OE 035,Polymer  Science & Technology
OE 036,Nuclear  Science
OE 037,Material Science
OE 038,Discrete Mathematics
OE 039,Applied Linear  Algebra
AS 301,Mathematics-III
VE 301,Universal Human Values & Professional Ethics
AS 302,Environment & Ecology
EC 309,Analog & Digital Electronics
EE 301,Electrical & Electronics Engineering Materials
EE 302,Electrical Measurements & Instrumentation
EE 303,Basic Signals & Systems
EE 351,Electrical Workshop
ME 101,Elements of Mechanical Engineering
EC 402,Electromagnetic Field Theo y
EE 401,Power  Plant Enginee ing
EE 402,Electrical Machines -I
EE 405,Network Analysis and Synthesis
AS 401,Mathematics-III
ME 201,Elements of Mechanical Engineering
EE 501,Elements Of Power System
EE 502,Power Electronics
EE 503,Control System
EE 504,Microprocessor & Its Applications
EC 508,Fundamentals of E.M. Theory
HU 501,Engineering Economics
EE 601,Power System Analysis
EE 602,Switchgear & Protection
EE 603,Special Electric Machine
EE 011,Digital Control System
EE 012,Fundamentals of Digital Signal Processing
EE 013,Neural Networks and Fuzzy System
EE 014,Power Theft and Energy Management
EE 021,High Voltage Engineering
EE 022,Intelligent Instrumentation
EE 023,Conventional & CAD of Electrical Machines
EE 024,Smart Energy Delivery Systems
HU 601,Industrial Management
EE 701,ELECTRIC DRIVES
EE 702,POWER STATION PRACTICE
EC 702A,ANALOG & DIGITAL COMMUNICATION
EE 031,POWER SYSTEM OPERATION AND CONTROL
EE 032,ADVANCED MICROPROCESSORS AND MICROCONTROLLERS
EE 033,FLEXIBLE AC TRANSMISSION SYSTEMS
CS 039,OBJECT ORIENTED SYSTEMS AND C++
OE 071,ENTREPRENEURSHIP DEVELOPMENT
OE 072,QUALITY MANAGEMENT
OE 073,OPERATION RESEARCH
OE 074,INTRODUCTION TO BIO TECHNOLOGY
EE 801,ELECTRICAL & ELECTRONICS ENGINEERING MATERIALS
EE 802,UTILIZATION OF ELECTRICAL ENERGY AND TRACTION
EE 041,EHVAC&DC TRANSMISSION
EE 042,POWER QUALITY
EE 043,EMBEDDED SYSTEM
EE 044,SCADA
OE 081,NON-CONVENTIONAL ENERGY RESOURCES
OE 082,NON LINEAR DYNAMIC SYSTEMS
OE 083,DATA BASE MANAGEMENT SYSTEM AND DATA MINING AND WAREHOUSING
OE 084,AUTOMATION & ROBOTICS
AS 103,Engineering Maths-I
AS 101,Engineering Physicss-I
EE 101,Basic Electrical Engg
ME 101,Elements of Mechanical Engg
AS 104,Professional Communication
CS 101,Computer System & Programming in C
EC 101,Basic Electronics
AS 102,Engineering Chemistry
AS 203,Engineering Maths-II
AS 201,Engineering Physics-II
AS 301,Mathematics-III
VE 301,Universal Human Value &Professional Ethics
AS 302,Environmental & Ecology
EC 301,Digital Logic Design 
CS 301,Discrete Structures & Theory of  Logic
CS 302,Computer Organization and  Architecture
CS 305,Data Structures 
EC 351,Digital Logic Design Lab
CS 351,Discrete Structure & Logic Lab
CS 352,Computer Organization Lab
CS 355,Data Structures Using C
CS 501,Design and Analysis of Algorithm 
CS 502,Database Managment System
CS 503,Principle of Programming Language
CS 504,Web Technology
IT 501,Managment Information System
HU 501,Engineering Economics
AS 402,Environmental & Ecology
VE 401,Human Values & Professional Ethics
EC 406,Information Theory and Coding
CS 401,Operating Systems
CS 402,Software Engineering
CS 403,Theory of Automata and Formal Languages
CS 601,Computer Networkks
CS 602,Software Engineering
CS 603,Compiler Design
HU 601,Industrial Management
IT 701,Cryptography & Network Security
CS 702,Artificial Intelligence
IT 801,Mobile Computing
VE 301,Universal Human Values & Professional Ethics
VE 302,Environment & Ecology
CE 303,Fluid Mechanics
ME 301,Material Science
ME 302,Thermodynamics
